,nombre,apellido,equipo,id
243,Jamal,Crawford,Michigan,111
244,Jae,Crowder,Marquette,112
245,Dante,Cunningham,Villanova,113
246,Seth,Curry,Duke,114
247,Stephen,Curry,Davidson,115
248,Troy,Daniels,Va Commonwealth,116
249,Anthony,Davis,Kentucky,117
250,Ed,Davis,North Carolina,118
251,Tyler,Davis,Texas A&M,119
252,Dewayne,Dedmon,USC,120
253,Sam,Dekker,Wisconsin,121
254,Angel,Delgado,Seton Hall,122
255,Matthew,Dellavedova,Saint Mary's,123
256,Luol,Deng,Duke,124
257,DeMar,DeRozan,Southern California,125
258,Marcus,Derrickson,Georgetown,126
259,Cheick,Diallo,Kansas,127
260,Hamidou,Diallo,Kentucky,128
261,Gorgui,Dieng,Louisville,129
262,John,Collins,Wake Forest,101
263,Zach,Collins,Gonzaga,102
264,John,Collins,Wake Forest,101
265,Zach,Collins,Gonzaga,102
266,Darren,Collison,UCLA,103
267,Mike,Conley,Ohio State,104
268,Pat,Connaughton,Notre Dame,105
269,Quinn,Cook,Duke,106
270,DeMarcus,Cousins,Kentucky,107
271,Robert,Covington,Tennessee State,108
272,Allen,Crabbe,California,109
273,Torrey,Craig,South Carolina Upstate,110
274,Jamal,Crawford,Michigan,111
275,Jae,Crowder,Marquette,112
276,Dante,Cunningham,Villanova,113
277,Seth,Curry,Duke,114
278,Stephen,Curry,Davidson,115
279,Troy,Daniels,Va Commonwealth,116
280,Anthony,Davis,Kentucky,117
281,Ed,Davis,North Carolina,118
282,Tyler,Davis,Texas A&M,119
283,Dewayne,Dedmon,USC,120
284,Sam,Dekker,Wisconsin,121
285,Angel,Delgado,Seton Hall,122
286,Matthew,Dellavedova,Saint Mary's,123
287,Luol,Deng,Duke,124
288,DeMar,DeRozan,Southern California,125
289,Marcus,Derrickson,Georgetown,126
